"Group","Command","Confirm","AlwaysOn","Actions"
"Открытие сайтов","Яндекс","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","Ютуб","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","Вк","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","Переводчик","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","Гугл","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","спотифай","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","пикабу","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","твиттер","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","фейсбук","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","инстаграмм","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","википедия","False","False","Sound.PlayStream; Launch.OpenURL"
"Открытие сайтов","тик ток","False","False","Sound.PlayStream; Launch.OpenURL; VC.Pause; OSD.ShowText"
"Управление системой","Закрыть окно","False","False","Window.Close; Sound.PlayWav"
"Управление системой","На весь экран","False","False","Window.Maximize"
"Управление системой","Норм окно","False","False","Window.Normalize"
"Управление системой","Сверни окно","False","False","Window.Minimize; Sound.PlayStream"
"Управление системой","Вставить","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Скопировать","False","False","InputKeys.Send; Sound.PlayStream"
"Управление системой","Отмена действия","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Другое окно","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Смена имени","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Найди элемент","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Обнови страницу","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Назад","False","False","InputKeys.Send"
"Управление системой","Вперёд","False","False","InputKeys.Send"
"Управление системой","Арес страницы","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Повтори окно","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Поиск по системе","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Открой параметры","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Удали","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Энтэр","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Смени язык","False","False","Sound.PlayStream; InputKeys.Send"
"Управление системой","Клик","False","False","Sound.PlayStream; Mouse.LeftClick"
